sentiment	text
neutral	Отсрочка платежа по кредиту россельхозбанк http://t.co/5EAnvWO5uN
neutral	Заявление анкета на ипотечный кредит втб 24 http://t.co/6ADWm91x7i
negative	"RT @360_tv_ru: #Канада ввела санкции против 10 оборонных и сырьевых компаний и банков #РФ. Среди них, в частности, ""#Газпромбанк"", ""#Внешэк…"
positive	За первое полугодие 2014 года Сбербанк России выдал ипотечных кредитов на сумму более 402 млрд. рублей, что на 70% больше аналогичного пока
neutral	Условия частично досрочного погашения кредита в райффайзенбанке http://t.co/EzFc16VMis
neutral	Расчет кредита наличными сбербанк http://t.co/i4lscIs9Q8
neutral	Сравнить кредитные ставки в сбербанке газпромбанке ираффайзенбанке http://t.co/DJJAAjtgC1
neutral	Бпс сбербанк депозиты кредиты http://t.co/ahmUA7Tb52
neutral	Пенза сбербанк жилищный кредит http://t.co/NMFI9Aph9M
positive	Пресс-релиз банка: Сбербанк и «Трест Уралавтострой» заключили соглашение о сотрудничестве
neutral	Документы для потребительского кредита в райффайзенбанке http://t.co/a4k2lYdySk
neutral	Высчитывать проценты по кредиту сбербанк http://t.co/w9gsypw5S7
neutral	Кредиты юридическим лицам банк втб 24 http://t.co/WmanyuVuBd
neutral	Россельхозбанк кредит на развитие тепличного хозяйства http://t.co/q5b1M1iiMK
negative	@Irinka_Koluchka @banki_ru И одной из контор-мошенников составляет банк Сбербанк России под крыш ой правительства.  http://t.co/aZQDCddf4A
neutral	Обслуживание кредитной карты альфа банка http://t.co/NTvNADbEPY
negative	@Pkawka91 @banki_ru Он не под крышой... походу, он сам крыша... Сбербанк используют, вопрос почему и кто позволяет.. http://t.co/PMSCp8mcQz
neutral	Кредитный калькулятор сбербанк украины http://t.co/JqD0an7yhZ
neutral	http://t.co/a7Vjha8K8F Сбербанк не меняет привычек: теперь и в Интернете
positive	Россельхозбанк утвердил Программу развития региональной сети до 2020 года | http://t.co/zYNBxNTSag http://t.co/joYrLQpsAt
neutral	Отказ от повышения налогов сохранит и даже ускорит рост ВВП РФ - Sberbank CIB
positive	Льготное кредитование на автомобили 2014 сбербанк http://t.co/WU0s8lMWQA
negative	"Новые санкции США в отношении Внешэкономбанка (ВЭБ), Газпромбанка, ""Роснефти"" и НОВАТЭКа вызвали рост неопределенности и недоверия, что мож"
neutral	Расчет потребительского кредита в россельхозбанке http://t.co/RWXlHdjCfb
neutral	получение автокредита втб 24 без прописки в москве
neutral	Проверка баланса на кредитной карте sberbank http://t.co/TgjIRfz5uy
neutral	Кредиты в россельхозбанке в кабардино балкарии http://t.co/IDHiJuLnaG
neutral	#СМИ Сбербанк поможет своему должнику построить Керченский мост: @dailysmi_net Глава Сбербанка Герман... http://t.co/A2S7sx7eRu #новости
negative	Если терминал по-прежнему не работает,то тогда через сбербанк онлайн придется
neutral	Туры в кредит альфа банк
neutral	инструкция по инкассации денежных средств в сбербанк http://t.co/0NcY4oYTKD #по #сбербанк
neutral	RT @omartynchik1: #Уралсиб Банк Сарапул Заявка На Кредит http://t.co/aG3nHZ2hgL
negative	«Райффайзен Банк Аваль» за полгода получил 1 млрд гривень убытка
neutral	Где получить кредит до 75 лет Кредиты для пенсионеров в ВТБ 24 в 60 65 70 лет в 2014 году http://t.co/H110iUaEeh
positive	Взять выгодный кредит онлайн в ВТБ 24 под залог квартиры или другой недвижимости  http://t.co/I85MOExXse
neutral	"RT @ybobscufi23: Информация Банка России ""О деятельности Газпромбанка и Внешэкономбанка"""
positive	Правлением ОАО «Россельхозбанк» утверждена Программа развития региональной сети Банка до 2020 года, призванная решить сразу несколько страт
negative	RT @yonchik1: Никогда не переводите деньги из #qiwi в #альфабанк это 5 !!! календарных дней минимум и потом еще поиск этих денег! #банки 21…
positive	Журнал Global Finance признал Сбербанк Онлайн лучшим розничным интернет-банком в России http://t.co/fEHyCTYaxj
positive	За полгода благодаря ипотеке от Россельхозбанка жилищные условия улучшили больше 300 красноярских семей. Филиал выдал на эти цели в общей с
positive	Журнал Global Finance признал Сбербанк Онлайн: По результатам проведенного исследования журнал Global Finance ... http://t.co/REkPVmc4NU
positive	@D_Babich сбер собираюсь открыть сегодня.
neutral	@sberbank Но и когда уже Вы созреете господа банкиры. http://t.co/Fg88U95jHX
negative	Раньше в Альфа банке такие красивые девочки работали, а щас какие-то забитые мыши
neutral	Сбербанк России намерен построить недвижимость во всей стране: В скором времени Сбербанк России намерен вложит... http://t.co/OjZPbKy9jE
neutral	http://t.co/ftGJlXXHSi Взять кредит в втб 24 наличными
neutral	http://t.co/I1DwWNVzmq Оформить заявку на кредит райффайзенбанк
negative	Под санкции Канады попали Газпромбанк и ВЭБ http://t.co/oZApBp1mlj #klerk
negative	"21 июля. FINMARKET.RU - Рост неопределенности и недоверия, вызванный новым раундом санкций США в отношении ВЭБа, Газпромбанка, ""Роснефти"" и"
neutral	http://t.co/5hSweYuyvp Сбербанк взять кредит на машину
neutral	#tlt Поволжский Сбербанк проведет семинар по брокерскому обслуживанию http://t.co/8wXNYcxdTZ #тлт
positive	В скором времени Сбербанк России намерен вложить энную сумму средств в строительство объектов недвижимости на всей территории страны. Общая
neutral	http://t.co/bmta53xeAQ Взять кредит в альфа банке нижнего новгорода
neutral	http://t.co/UMIXHReyDn Взять кредит в альфа банк в спб
positive	Сотрудники Банка расскажут, как грамотно инвестировать в рынок ценных бумаг и получать от этого прибыль...     . Поволжский Сбербанк провед
neutral	http://t.co/7WPZr1EOTf Как взять кредит в альфа банке по интернету
neutral	http://t.co/Zdw84BqjiK Взять кредит в россельхозбанке кемерово
positive	RT @retucargo: Рейтинг стоимости брендов: Apple — лидер, две российские компании — Сбербанк и МТС вошли в топ-100
neutral	http://t.co/QnbTyIP11s Как взять кредит россельхозбанке
neutral	Поволжский Сбербанк проведет семинар по брокерскому обслуживанию
negative	@alfa_bank я всего лишь заменил сим карту (не номер) и теперь для разблокировки симкарты мне надо ехать в отделение Альфа-Банк.
neutral	образец кредитного договора сбербанк россии http://t.co/80CoIwN5uw #россии #договора
neutral	http://t.co/7Tc4rWqCRL Как взять кредит в россельхозбанк в марий эл
negative	Банк Москвы будет гореть в Аду. Я лично спущусь с Небес. Проверить.
neutral	http://t.co/YcWLLigpKJ Получить небольшой кредит в райффайзен банке
neutral	Я просто зашла в Альфа банк и увидела этот журнал )Мило
neutral	http://t.co/37IIAbUqUW Со скольких лет можно взять кредит в альфа банке
neutral	Банк Москвы отчитался о первых результатах в работе с региональными операторами: Банк Москвы одним из... http://t.co/luHGb3vSwW #novosti
neutral	http://t.co/ao9XFCObMV Взять потребительский кредит в альфа банке за 30 мин
neutral	http://t.co/GzJ4nIQnQ3 Взять кредит в альфа банке наличными
negative	"Ограничительные меры затронут такие организации, как Газпромбанк, Внешэкономбанк, ""Калашников"", ""Конструкторское бюро приборостроения"", ""Но"
neutral	http://t.co/wtPUUn9KMR Сбербанк россии как взять кредит на неотложные нужды
neutral	http://t.co/smU2bT3v7V Как оформить кредит в россельхозбанк
positive	Сбербанк Онлайн лучший интернет-банк в России: Сбербанк Онлайн позволяет клиенту управлять сво... http://t.co/qqIISqRraP #Саратов
neutral	http://t.co/fub3Pzo0H0 Взять кредит в оао россельхозбанк 800 т
neutral	http://t.co/k1fLrnMJL9 Сбербанк россии взять кредит онега
positive	По результатам проведенного исследования журнал Global Finance признал Сбербанк Онлайн лучшим розничным интернет-банком в России в 2014 год
negative	@alfa_bank раз уж на то пошло... Лентяи работающие с физиками.
neutral	http://t.co/KoHCPzRAds Оформить кредитную карту сбербанк без справок
neutral	http://t.co/ZGbpFevMZl Взять кредит наличными в втб 24 калькулятор
neutral	http://t.co/eSqT2ncUP8 Взять кредит альфа банк город спасск дальний
neutral	http://t.co/MnR6voJrK9 Сбербанк кредит хоть я не работаю могу взять или нет
neutral	@M4DON_INFO Комиссия будет начисляться согласно тарифам @sberbank по переводу на другие карты.
neutral	http://t.co/DzAxRR6CPP Доверительный кредит втб 24 на каких условиях взять
negative	@max_katz Лайфхак дня: напишите на стене #Сбербанк и через пол часа там выстроиться очередь из 30 пенсионеров
neutral	http://t.co/Bmr7mfAZxc Взять потребительский кредит в газпромбанке
negative	@alfa_bank передал через хостес что занят, но при этом когда к нему сходила операционист с вопросом, он ее принял
neutral	http://t.co/qBnptDUer0 Взять кредит в россельхозбанке город можга
negative	#Новые санкции затрагивают и Газпромбанк  #sledui
neutral	http://t.co/ZMCgjC8fDj Взять кредит в райффайзенбанке в омске
negative	#банкомат компании #Сбербанк съел #деньги и испортил мне вечер и выходные, #падла
neutral	http://t.co/MITS4iczkU Оформить кредитную карту райфайзенбанкаваль
neutral	http://t.co/M2S4pclR7N Как взять кредит в альфа банке
negative	ВЭБ, ВТБ, Сбербанк - касса Путина. никогда не доверю им деньги
neutral	Судебные приставы Ботлихского района совместно с работниками ОАО «Россельхозбанк» провели рейдовые мероприятия по взысканию кредитной задол
negative	RT @inbergMck: Россия: Сбербанк повысил процентные ставки по ипотеке http://t.co/1zFbpzQJeV
neutral	http://t.co/dntW38k4SP Сбербанк рф как взять кредит в сумме 150000 руб
neutral	http://t.co/Z8r6vTjpwm Оформить заявку на кредит в газпромбанке в костроме
neutral	http://t.co/SnVMm7H6Ip Оформить кредит в альфа банк
neutral	курс доллара в Орше покупка продажа /  / Банк БелВЭБ 10 270 10 320 / Банк ВТБ (Беларусь) 10 230 10 350 / Банк М.. http://t.co/PpZprbmLS8
neutral	@arseny_pe @ELukyanov @achupahina СБЕР
neutral	http://t.co/t8j9Xe6Ab9 Банк москвы в улан удэ оформить кредит через
negative	@just_NS @alfa_bank Впизду эти карточки, лучше с наличкой двигаться! Возьму на заметку Ярик, мало ли со мной такое случится
neutral	курс рубля в Витебске покупка продажа /  / Банк БелВЭБ 291 295 / Банк ВТБ (Беларусь) 276 298 / Банк Москва - Ми.. http://t.co/d3SJqrg9qf
neutral	http://t.co/73v4VEzs8e Взять кредит уралсиб банк калининград
neutral	образец договора банковского вклада сбербанк http://t.co/L2juGzW5Ni #банковского #вклада
neutral	С 25 июля по 25 августа 2014 года Новгородский региональный филиал ОАО «Россельхозбанк» проводит месяц продаж… http://t.co/PhpyLNLekj
neutral	RT @sivyrymimad: Сбербанк застрахует имущество на полтриллиона рублей
neutral	В Вологодской области Сбербанк выдал 1400 кредитов «Доверие» для малого бизнеса
neutral	http://t.co/uW2ViyPjK4 minecraft ПОРТАЛ В РАЙФФАЙЗЕН bank
positive	В 2013 году Сбербанк каждый час выдавал жилищных кредитов на 10 млн рублей.В Северном банке Сбербанка России подведены итоги розничного кре
neutral	"@sberbank здравствуйте, возможно ли отправить денги в Турцию? У вас просто ""western union"" нет. Спасибо заранее."
negative	RT @pbldrila: сбербанк коварные. чем смсочки с днем рождения отправлять, лучше бы высылали деньги
negative	#iPhone Введение ограничительных мер затронет Внешэкономбанк, Газпромбанк, «Конструкторское бюро приборостроен... http://t.co/hMM8YS3CJV
negative	@mizotw к сожалению.. но он только шестёрка, нет?как и Греф, кстати.А СБЕР в крыму НЕ БУДЕТ ИМЕТЬ ФИЛИАЛЫ,сейчас его укр-дочка @Iskra_Veter
positive	С 1 августа Сбербанк начнет выдавать кредиты на покупку недвижимости&amp;#8230;
neutral	Путевка в кредит от альфа банка
neutral	http://t.co/SKwIpA9HLR Как узнать могу ли я взять кредит в альфа банке
positive	«Газпром» пользуется услугами Газпромбанка, несмотря на санкции США
neutral	образец претензии в сбербанк россии о снятие ареста http://t.co/5N9CTA2soo #снятие
neutral	http://t.co/OlmZbYI6ix Как взять кредит сбербанк волгоград
neutral	http://t.co/6X2zoqpomZ Оформить кредитную карту в альфа банке
neutral	http://t.co/ZbAhZSlt0i Сбербанк получить кредит военная пенсия
neutral	бланк на госпошлину загранпаспорта в сбербанк http://t.co/xYbDjVno8y #в #бланк
neutral	"@tvrain @olgabychkova Украина хочет разместить для финансирования АТО ""военные"" облигации через Сбербанк России http://t.co/o1HerHrblL"
neutral	"@holmogorov Украина хочет разместить для финансирования АТО ""военные"" облигации через Сбербанк России http://t.co/o1HerHrblL"
neutral	доверенность сбербанк бланк http://t.co/tufQFtkH4Y
neutral	http://t.co/mxZjq05mL0 Взять потребительский кредит в банк москвы
neutral	http://t.co/ZlRkVkIeOY Сбербанк как получить кредит пенсионеру
positive	http://t.co/sQyAUcCXCN Новости экономики: Сбербанк поможет в строительстве Керченского моста
neutral	Туры кредит альфа банк
negative	Сбербанк всегда со своими клиентами. Вы работаете - Сбербанк тоже работает. Вы вышли с работы - Сбербанк уже закрылся.
neutral	Вчера что-то про сбербанк говорил? Я повторюсь...
neutral	бланк доверенности на получение карт пин-конвертов альфа банк http://t.co/5mywGEMqmN #доверенности #карт
neutral	http://t.co/14sv15Iyeg Оформить кредитную карту в россельхозбанке онлайн
positive	RT @vihahezamyku: Пресс-релиз банка: Газпромбанк предоставил ОАО «Алтайэнергосбыт» овердрафтный кредит в размере 1,3 млрд рублей
neutral	Почему Сбербанк России активно кредитует модернизацию украинского ВПК | Stockinfocus.ru http://t.co/GVUeBIuxdL
neutral	http://t.co/Z1NIVEE49m Сложно ли взять кредит в альфа банке
positive	http://t.co/BljIurDdIT Новости экономики: Сбербанк поможет в строительстве Керченского моста
positive	С 1 августа Сбербанк начнет выдавать кредиты на покупку недвижимости в Хорватии
negative	RT @LovezMe_S: И все-таки #сбербанк это #ад
neutral	банк втб 24 выдача автокредитов
neutral	http://t.co/6MTxZAZW2J Получить кредит в сбер банке
neutral	образец заявления-анкеты для открытия пластиковой карты в райффайзенбанке http://t.co/IVHF2vVskg #заявления-анкеты #открытия
neutral	http://t.co/cPSsFh99Ou Как взять кредит в банке сбербанк приозерск
negative	"Снял деньги с карты Сбера, думал, сейчас начислят кучу бонусных ""Спасибо"". Оказалось - фиг. Придется положить обратно. Сбер не обхитришь. :)"
neutral	При поддержке Россельхозбанка в Оренбуржье создается новая линия по переработке... #mol http://t.co/s92iqBUZZV
neutral	http://t.co/dBGb07M0Uu Сбербанк взять кредит и его проценты
positive	http://t.co/QtSqdSe62S Новости экономики: Сбербанк поможет в строительстве Керченского моста
neutral	руководство воронежского филиала газпромбанка http://t.co/AAVCjNfJNS #руководство
neutral	телефонный справочник сбербанк 8623 http://t.co/XfNZM2aUKp #сбербанк
positive	ВТБ разместил еврооблигации на 350 млн швейцарских франков Банк ВТБ через зарегистрированную в Люксембурге дочернюю компанию VTB
negative	А у кого-нибудь еще #sberbank-online не работает? Или это только у меня такая #проблема? Не дает оплатить ВООБЩЕ НИЧЕГО. Пишет: ОШИБКА.
neutral	Около 5 тысяч кировчан обслуживаются в формате Сбербанк Премьер
neutral	оао сбербанк россии россии руководство контакты http://t.co/fp5uC9xHrP #россии #контакты
neutral	пегас туры в кредит альфа банк
neutral	Взять кредит сбербанк http://t.co/S9qeFDhzvO
neutral	банк клиент сбербанк скачать http://t.co/tpliLxZwZG
positive	Сбербанк запускает новый ипотечный продукт для участников накопительно-ипотечной системы обеспечения жильем военнослужащих.   Сбербанк запу
neutral	Приставы помогают Россельхозбанку взыскивать кредиты у должников Ботлихского района.Судебные приставы Ботлихского района совместно с работн
neutral	Журнал Global Finance признал Сбербанк Онлайн лучшим розничным интернет-банком в России.По результатам проведенного исследования журнал Glo
negative	@alfa_bank информатор разбудил утром, чтобы рассказать о долге в 300р, а специалист центра задолженностей оказался хамом. #Доброеутро :(
neutral	http://t.co/lCM2PZtQf1 Сбербанк онлайн оформить заявку на кредит наличными
neutral	Интернет-агентство «ДАЛЕЕ завершило перезапуск сайта Сбербанк Первый
neutral	http://t.co/n1fV9LbGWR Получить кредит райффайзенбанке
neutral	http://t.co/GZyNK3RANx Хочу взять кредит в втб 24 какие условия
neutral	http://t.co/gPZWjnbs3X Кемерово взять кредит банк москвы
neutral	Пздц я лох вчера карту потерял сбербанк сегодня сотку
neutral	RT @msmaznuxin: Правила Получения Кредита Сбербанк Г Ульяновск http://t.co/H61VnsLBSf
neutral	Дальневосточный Сбербанк предлагает приобрести подарочные монеты ко Дню Военно-морского флота
positive	Россельхозбанк выпустил платежную карту в поддержку амурских тигров
neutral	http://t.co/mC4ckML23I Взять кредит сбербанк 200тыс
neutral	Райффайзен банкоматы москва http://t.co/3Duu3aWKor
neutral	http://t.co/JOvezhVej3 Могу ли взять кредит в райффайзен банк аваль
neutral	http://t.co/8AV3wVIU6p Россельхозбанк оформить кредит онлайн
negative	RT @muradik57: @Dadilov84 @sberbank  НАПИШИ на пустой стене слово @sberbank  РОССИИ-как тут же около надписи образуется длинная очередь из …
neutral	В путешествие с кредитной картой Райффайзенбанка
negative	@smartex_ многа ДМ) спойлер - сбербанк говно,но мисшн комплитд
neutral	http://t.co/ma2sbbwqwT Как получить кредит в россельхозбанке фермеру
negative	Третий день в разное время (иногда весьма позднее )сотрудники Альфа банка пытают, знаю ли я Орехову Веру Павловну.Не знаю и позвать не могу!
neutral	Не посвященная шри ланка является рожденной мамой, следом красный сбербанк не подобрал. #секс http://t.co/VK0WFS11hj
negative	"@Irina_Ser У меня такая история с #alfabank длилась 3 месяца, и длилась бы еще, если бы про нее не написала газета ""Ведомости""."
neutral	RT @gygisahidit: Дальневосточный Сбербанк предлагает приобрести подарочные монеты ко Дню Военно-морского флота
neutral	https://t.co/U2a9n2A9cF Альфа банк как взять кредит
neutral	@EliasZotov Помогите мне,нужно дорогое лечение в Москве.номер карты сбербанк 639002629019890903 действие карты до 07.17
positive	Всё больше кировчан пользуются мобильным приложением Сбербанк Онл йн
negative	"""Если вы платите с карточки, то скидка будет не 8, а 5%, потому что Сбербанк берет комиссию"". Эра кэша никогда не уйдет."
neutral	RT @auffpsrsdzbb: Сбербанк на телефон http://t.co/sksac0KSa3
neutral	@sberbank а если две карты?
negative	“@taviscaron:У банкомата @alfa_bank в Отрадном до сих пор, уже больше года, не могут исправить проблему с выдачей налички. Пиздец.”@maksdar
positive	"""Сбербанк Онлайн"" признан лучшим интернет-банком в России. Более того, Сбербанк выиграл в трех номинациях в рейтинге лучших банков в Центра"
positive	"Рок-тусэ с Альфа банком! #picstitch @ Турбаза ""Лесная "" http://t.co/iPTvfk7JLM"
positive	Инновационные продукты для бизнеса представил Сбербанк на IT-Форуме в Вологде
neutral	образец анкеты кандидата на работу в сбербанк http://t.co/VDH4oqcwu7 #работу #анкеты
negative	"RT @SonyaLeikina: многоуважаемый @sberbank с традиционно ""устойчивой"" связью поставил в неловкое положение в ресторане... http://t.co/faotA…"
neutral	http://t.co/zrGxIz3Dqv Ка получить потребительский кредит в альфа банке
neutral	http://t.co/azg4BqtUTU Можно ли взять кредит в банке сбербанк россии
neutral	"""@BelieveInStucky: Щас мамой пойдем в альфа банк. АЛЬФА банк. Моя жизнь изменилась."" Ахахахахваа"
neutral	http://t.co/LY9RHGROxj Банк втб киров взять кредитную карту через онлайн
positive	К тому же, Сбер дал мне кредит в 19 лет, когда все остальные банки побоялись)))
negative	@sberbank Когда же глава Сбербанка России  и его администрация начнут думать головой.  http://t.co/VZ2xQJPIKw
neutral	http://t.co/PZStG7fnAJ Альфа банк взять второй кредит по зарплатной карте
neutral	пошаговая инструкция сбербанк получение логина и пароля http://t.co/YujTrHkzkH #сбербанк #логина
neutral	RT @sberbank: Скидываетесь на подарок?  Отправьте SMS на номер 900: ПЕРЕВОД 9ХХХХХХХХХ 500 (то есть телефон того, кто собирает деньги и сум…
neutral	15 ноября ОАО &amp;laquo;Россельхозбанк&amp;raquo; провел в Краснодаре &amp;laquo;Открытый диалог&amp;raquo; &amp;mdash; региональное совещание по проблемам и
neutral	http://t.co/VubcgdsrML Как получить кредит через сбербанк онлайн
neutral	Фактически это означает, что Сбербанк России (MOEX: SBER), ВТБ (MOEX: VTBR) и Россельхозбанк (MOEX: RSHB) могут лиш.. http://t.co/rADTRURDPF
neutral	http://t.co/dfXB1bOQYI Как оформить кредитную карту альфа банка
positive	Кроме того, Сбербанк победил еще в трех номинациях...
positive	По состоянию на 10 часов утра 24 июня рейтинг банков Бурятии, за которые голосуют посетители сайта «Байкал Финанс», возглавил Сбербанк Росс
neutral	http://t.co/qxEPbE9PE0 Спб взять кредит альфа банк
neutral	1. поймите, что Сбер этот только в виду российский.
positive	Да, мобильники здесь должны завоевывать рынок. И Сбер очень продвинулся на этой стезе.
positive	С 25 июля по 25 августа 2014 года во всех отделениях Россельхозбанка на территории Республики Марий Эл пройдет «Месяц продаж ипотечных кред
neutral	Потребительский кредит в Сбербанк Ульяновск http://t.co/tO3lPISNuc
negative	«Райффайзен Банк Аваль» закрывает крымские филиалы
neutral	http://t.co/Zdss6bae4J Взять кредит в филиал тульский оао альфа банк
neutral	http://t.co/23LLd50MYa Оформить кредит в россельхозбанке
neutral	образец заполнения заявления о спорной операции по карте сбербанк http://t.co/BXMRRTyeSR #сбербанк #о
neutral	http://t.co/u5hJvFLoHN Оформить кредит в альфа банке мурманск
neutral	Ну, а кому принадлежит Сбер и кто его контролирует, рассказывать не надо, а уж получить 2О миллионов долларов кредита
positive	Правлением ОАО «Россельхозбанк» утверждена Программа развития региональной сети Банка до 2020 года, сообщили РИА «Дагестан» в пресс-службе
positive	Россельхозбанк утвердил Программу развития региональной сети до 2020 года
positive	В сентябре текущего года клиенты Северного банка Сбербанка России совершили через Сбербанк Онлайн более 35 тысяч платежей за услуги ЖКХ. Об
neutral	http://t.co/8XzU0eBmQq Хочу взять кредит банк уралсиб
neutral	http://t.co/mnqG5bglUF Взять кредит в альфа банке сейчас
positive	В мае 2013 года в Москве появятся первые 100 пунктов проката велосипедов.Банк Москвы приобретает около одной тысячи велосипедов, которые в
negative	RT @puwylalufube: «Райффайзен Банк Аваль» за полгода получил 1 млрд гривень убытка
neutral	http://t.co/7NwCrL9xIu Взять кредит на 400000 тысяч сбербанк на 4 года
neutral	http://t.co/55CB8YRGkO Как взять кредит в газпромбанке и склька проц
neutral	http://t.co/sgOa9jyLCJ Взять кредит в райффайзенбанк
positive	Между АО Банк ВТБ (Грузия) и ЕБРР подписано соглашение, согласно которому банки будут совместно осуществлять финансирования корпоративных к
neutral	http://t.co/vrzwJNjfoj Россельхозбанквзять кредит в москве без регистрации
negative	"Годовой отчет ИТ-монстра #КРОК: в прошлом #Сбербанк и ВТБ, впереди роботы и ""умные города"":) http://t.co/ACzLxBGl4q"
positive	Эм. Почта фиг с ней, но вот Сбер и РЖД пусть будут, а? Они ж исправляются в последнее время. Особенно Сбер
neutral	"за сегодня эти двое успели раза 2-3 сказать друг другу: ""у меня СберБанк #RT"
neutral	RT @darkbono: http://t.co/XcDc2CIg1k банк москвы г краснодар потребительский кредит
negative	В Ульяновске бывший директор филиала Россельхозбанка осужден за хищение 2,5 млн рублей
neutral	http://t.co/RXqEELHCpG Альфа банк оформить заявку на кредит без залога
neutral	Ипотечный кредит в ВТБ 24 условия и преимущества - Почему... http://t.co/oJhocEHgHj
neutral	Вывожу и обмениваю з Webmoney , qiwi , Яндекс деньги , PM , на на Приватбанк, Альфа-Банк, ВТБ24, СберБанк и другие...- Очень высокие гарант
neutral	RT @gutulokdew: #Условия Получения Кредита В Россельхозбанке В Нижнем Новгороде http://t.co/5rT3IqFdY2
neutral	В любую какую удобно личку. Оплатить сожно на сбер карту, яндекс кошель или приват карту. Как удобнее?
neutral	http://t.co/cKINE50r3t Взять потребительский кредит сбербанк россии
neutral	На днях в Марийском филиале Россельхозбанка были подведены итоги акции «Ипотека от Россельхозбанка – дизайн интерьера в подарок». По ее усл
positive	Госбанки догоняют рынок: Сбербанк 23 июня повысил ставки по отдельным видам вкладов - онлайн-депозитам и сберегательным сертификатам. Его к
neutral	Райффайзен Банк Аваль сообщает клиентам — пользователям системы «Райффайзен Аваль Онлайн» (интернет-банкинг для физических лиц) о снятии ли
neutral	банк москвы хабаровск руководство http://t.co/sMVlwO9o2k #хабаровск #банк
