sentiment	text
neutral	МТС проведет экскурсию дополненной реальности во Львове
neutral	#RT МТС приглашает на экскурсию по местам боевой славы Донецка
negative	@ru_mts вот утомили вы своей хитрожопостью, но пока альтернативы в местности нет, буду Вас заебывать.
neutral	Мегафон рассказал о правилах путешествия с телефоном - Тюменская линия
neutral	«Ростелеком» стал партнером всероссийского конкурса «Поколение I»
neutral	МТС ввел звонок из роуминга за счет вызываемого абонента
neutral	МТС и Opera представили магазин мобильных приложений App Market
neutral	Мегафон e173 скачать прошивку http://t.co/22yRZHrRlv
neutral	Мегафон тверь справка http://t.co/EthMLtzIZo
positive	Завтра может у меня будет и Домашнее Цифровое ТВ МТС #RT
positive	@Beeline_RUS ребят, касательно вашего чудесного Мой Билайн.app для iPhone. А можно его сделать ещё чуточку чудеснее?) http://t.co/MgNY0TdPpt
neutral	Настройка ммс на iphone 5 теле2 http://t.co/KMUGNUvJ1d
positive	@Tselyanov @diden05 @redcom_internet Им и пользуюсь сейчас! Спасибо @MegaFonDVpr !
negative	Завтра придется идти в Мегафон, а то я что-то не разберу
neutral	@Beeline_RUS здравствуйте! У меня есть идея по поводу тарифа. А также хочу направить вам резюме. Не подскажете адреса, куда можно направить?
neutral	Рынки больших городов насыщены, а программа цифровизации «Ростелекомом» малых населенных пунктов еще не началась
neutral	инструкция настройки роутера keenetic 4g мтс сотовый оператор http://t.co/yb0e28EJS2 #4g
positive	завтра хочу сделать фотку с Сашей из мтс ,реально !! уу,Женя меня убьет))
negative	Интернет в Тунке глючит, правда. #Мегафон тоже сволочной оператор.
positive	"Возможность быть ""онлайн"" - специфика работы требует - очень радует (теперь ещё вафай-переносной-модем куплю мегафоновский и вообще в"
positive	RT @_Beeline_kz: Сегодня День Системного Администратора! =) С праздником, друзья! http://t.co/KiDNwq11ht
neutral	ОАО &amp;quot;Мобильные ТелеСистемы&amp;quot; сообщает о запуске в коммерческую эксплуатацию первой сети 4G в Тюменской области. Услуги мобильной п
negative	Незаконная задолженность МТС - минус 9 миллионов! #minsk #ТвиттерСила
positive	«МегаФон» в Вологодской области: полгода на скоростях 4G+
negative	RT @EvaKobb: МТС Россия прислала жителям Херсонщины сообщения, в которых обозвала украинцев фашистами? http://t.co/a0cGv7RIaj
positive	«МТС Урал» отмечает рост продаж мобильных устройств с поддержкой 4G
neutral	"У группы есть ""голодный телефон"". Деньги, которые вы положите на этот номер: 8-965-925-0920 (Билайн), буд.. http://t.co/l64WsbRhb9"
neutral	http://t.co/RrwH81dENe Сотовый оператор МТС ввел функцию звонков из международного роуминга в Россию за счет вызываемого або
neutral	10 июля 2014 года вещание телеканала CTC Love стартовало в цифровой кабельной сети «Билайн».
negative	RT @OliverLoveFrank: ЕСЛИ МОБ.ИНЕТ ОПЯТЬ НЕ ЗАРАБОТАЕТ - Я СОЖГУ ВО СЛАВУ САТАНЕ ВСЕ ЗДАНИЯ МТС ТВАРЬ ЗАХАРИЛИ УЖЕ ЛИШАТЬ МЕНЯ ИНЕТА Я ВАС …
neutral	мтс банк ростовский филиал руководство http://t.co/Ksi2QXrhr9 #ростовский #банк
positive	RT @MartinHayes13: Компания МТС после слогана «Ты лучше!» придумала ещё 2: «У тебя больше!» и «Ты чаще!»
positive	@parfenov1960 Мегафон, потому что самый крутой мобильный интернет.
neutral	RT @JulikaAttaway: Драйвера на модем билайна http://t.co/nU25P1XOve
neutral	@barskykd Константин, мы понимаем Вас.Но для того,что бы Вы могли пользоваться всеми возможностями нашей компании,пож-та,обратитесь=&gt;#билайн
negative	Интересно. Интернет от МТС, бывший Стрим, вообще в курсе, что он высокоскоростной?! Скорость имеет, к тому же, волновую природу.
neutral	код ошибки 4 билайн http://t.co/NePXo4S0YO
positive	МТС лучший
neutral	«Ростелеком» подсчитал ущерб от наводнения на Алтае
neutral	e367 мегафон http://t.co/RRVUL0typI прошивка
neutral	@megafonru @VolkowaH Уточните, пожалуйста в ЛС Ваш номер,  ФИО абонента и Ваше точное местоположение город,улицу и номер дома.Проверим.
neutral	RT @krasnok18629570: ФАС РФ на заседании в понедельник, 30 июня, приняло сторону компании МТС в споре вокруг контракта на обслуживание Сове…
neutral	прошивка модема e160g билайн http://t.co/jlfEHHqmbY
negative	Кста я лошок, вчера билайн вырубил инет на самом интересном месте
neutral	Tele2 подводит итоги четырех лет работы в Вологодской области
neutral	@Olegt0rr @MegaFonHelp уточните, на каких именно ветках/на каких станциях наблюдались сложности с недоступностью мобильного интернет?
positive	омг, появился сигнал #LTE на работе! #билайн
neutral	Абоненты МТС могут говорить за счет собеседника, находясь в роуминге
neutral	С 7 по 14 июня 2014 года МТС будет ежедневно проводить розыгрыш билетов на Фестиваль «Воздух»
negative	что-то опять не работает автоплатеж в мегафон :-(
neutral	«Мегафон» приобрел еще 25% акций компании «Евросеть» за 657 млн долларов
positive	«Вымпелком» вслед за МТС снижает стоимость роуминга в Крыму
negative	Как и ожидалось, никакой @MegaFonUralhelp со скоростью помогать даже и не собирался. Лишь бы абонент отстал... http://t.co/hulmUH1CRF
neutral	Как отправить маячок с мтс, теле2, мегафона, билайна, ростелеком - KakChtoPochemu.ru http://t.co/hMbDp9ahJg
negative	Вот и МТС запустил LTE в Саратове... Билайн, ау?
neutral	«Ростелеком» поддержал проведение соревнований по пляжному футболу «Анапа OPEN»
negative	RT @t_felg: Предлагаю Билайну сгореть в аду
negative	@Wild_Ma13 вся семья на билайне...так бы поменял:)
neutral	пошаговая инструкция как связаться с оператором мегафон http://t.co/yR5dBnEjeL #как #мегафон
positive	Два повода подключить скоростной интернет от «Ростелекома» летом #R
negative	#минивэн NoahVoxy. Двигатель • Re: Перегрев двигателя 1AZ-FSE?: megafon_35, на алиэкспрес наши... http://t.co/quArnN3gW4 #автозапчасти
neutral	Система видеонаблюдения «Ростелекома» успешно отработала в дополнительный период ЕГЭ
negative	@zinda96 Добрый день!Очень жаль, что у Вас возникло такое желание.Скажите, пож-та,цены на какие тарифы или услуги Вам не подходят? #билайн
neutral	МТС включила 4G в Саратовской области http://t.co/DHzBXP6K7q
neutral	почему людям нравмтся майнкрафт http://t.co/HUllVIREeI
negative	RT @lexandrGurkin: @rus_fas @nicko664 @Grajdansky @megafonru оператор и спамер продолжают рассылки спама, наплевав на ФАС https://t.co/Ajr5…
neutral	"""Мегафон"" не получил крупный контракт на обслуживание Пенсионного фонда: ПФР при выборе победителя учитывал среди… #Афоризмы"
negative	@the22ofJuly зайдешь. У меня билайн, так что ты только потратишь деньги, много
neutral	«Ростелеком» принял участие в учительском проекте
positive	Более 19 тысяч клиентов оценили на «пятерку» качество обслуживания в салонах «МегаФона» в Бурятии http://t.co/eKMJD6Lvcp
neutral	В альбоме появились фотки с визита блогеров и журналистов в Билайн, на Взлетную 3 в Красноярске! Смотрим, радуе.. http://t.co/5LK6BekxbK
neutral	@Malawyn, уточните, пожалуйста, переносимый номер и контактный номер. Спасибо! ^ДП #МТС
positive	Короче, вчера до Мегафона я так и не доехал. Зато поузнавал у пользователей МТС..у них LTE работает
neutral	НКРСИ выделила «МТС Украина» короткий номер
negative	«Мегафон» повысил стоимость интернет-роуминга в Европе в 2 раза
neutral	@slavyanka_river, о всех изменениях в тарифах или услугах, публикуется информация на нашем сайте: http://t.co/Gj3HHWeF3l. ^ДП #МТС
neutral	Beeline объявляет о назначении Артура Григоряна на должность коммерческого директора Блока мобильной связи, сообщает пресс-служба компании.
positive	Вчера был фестиваль Билайна в Барнауле. Билайн запускает у нас 4G) Теперь будет все быыстро))
negative	Но в салонах Beeline об этом почему-то ещё не знают((
neutral	мтс для keenetic 4g http://t.co/GV8PslMK4f прошивка
negative	@ru_mts 24-го получил смс что обращение приняли в работу хотя я жду ответа с 17-го числа - объясните что это означает???????
neutral	Tele2 совместно в вологжанами украсили Парк мира к новогодним праздникам.Неравнодушные вологжане своими силами украсили Парк Мира к новогод
negative	@megafonru убивает в людях чувство прекрасного http://t.co/QzXK6LXyh2
neutral	mf 626 билайн звонить http://t.co/0YcybFfkAo прошивка
negative	Бля, че с интернетом, тупой билайн
neutral	Сотовый оператор МТС ввел функцию звонков из международного роуминга в Россию за счет вызываемого абонента. Об этом «Ленте.ру» сообщили в к
neutral	@abelyalov это был платёж с карты при помощи моб банка СБ. Переслала все в МТС на номер 1911
positive	Вежливый МТС http://t.co/WxzmcjHct0 #приколы
neutral	Во время заседания, состоявшегося 24 июля 2014, НКРСИ приняла решение о выделении по заявлению ЗАО &amp;laquo;МТС Украина&amp;raquo; сроком на шест
positive	Оператор МТС первым среди российских операторов предоставляет абонентам возможность в роуминге совершать звонки за счет вызываемого абонент
neutral	Экскурсия в ростелекоме
neutral	"Экскурсия от РТК (@ Музей Связи ""Ростелеком"" w"
negative	Почему МТС в Дагестане не работает? Кто знает? #RT
neutral	УрБК, Екатеринбург, 25.07.2014. Компания «МегаФон» фиксирует резкий рост востребованности междугородних звонков у абонентов оператора на Ур
neutral	В МТС @ новокузнецкая http://t.co/Tgwe9u754A
negative	@MegaFonHelp  здравствуйте. В Питере тоже LTE не работает до 25?
neutral	@zen_pc когда интернетчики свалят на билайн, то мегафон станет нормальным) вообще все по кругу меняется
neutral	#RuFollowBack «Билайн» создает удобное web-пространство для корпоративных клиентов #ЧитаюВзаимно
neutral	«МегаФон» запустил в Новосибирске федеральный центр телемаркетинга
neutral	«Мегафон» открывает в Новосибирске Федеральный центр телемаркетинга..По оценке компании, новый центр будет производить обслуживание свыше 2
positive	Мегафон намерен отключить международный роуминг в Республике Крым
positive	Вот такую чудную композицию из полевых цветов Вам дарит #мегафон в честь дня рождения компании @MegaFonUral http://t.co/gpWtnGYv20
negative	@ru_mts а не противоречит ли это закону о возможности перехода между операторами с сохранением номера?
positive	"«МегаФон» модернизирует 400 базовых станций в Ростовской области: ""МегаФон"" намерен установить 400 новых маршрутизаторов компании... #железо"
positive	«МегаФон» модернизирует 400 базовых станций в Ростовской области
positive	#ЧитаюВзаимно «МегаФон» модернизирует 400 базовых станций в Ростовской области #ВЗАИМНЫЙ
positive	«МегаФон» модернизирует 400 базовых станций в Ростовской области http://t.co/mLUaPN79O3
neutral	"RT @nikkiewart: Девушки, записывайте в телефонную книгу своих любовников ""МТС"", ""Билайн"", ""Мегафон"". Не палитесь."
positive	"МТС: ""Мы приветствуем защиту абонентов от спама"" /  http://t.co/onIMs8EBzj http://t.co/Wf1UO7o6yx"
negative	"Мегафон спонсор ""ДОМа-2""...(я меняю симку)"
positive	@1ezha, спасибо! Сейчас все должно работать корректно, протестируйте, пожалуйста. ^ДП #МТС
neutral	прошивка для телефона билайн с100 http://t.co/Zy83m2jWKW
negative	"В эпоху появления сотовой связи самый лучший оператор был Билайн, его лозунг ""с нами удобно"" очень хорошо работал, не то, что сейчас."
neutral	RT @stokshina: Приехал послушать про счастье от МТС
negative	@MegaFonUralhelp я предоставил всю необходимую информацию. проблема заключается в медленном интернете, а не на каком этаже я живу.
neutral	RT @Rostelecom_News: А вы поздравили сисадмина с его профессиональным праздником? #деньсисадмина #ростелеком http://t.co/CqAhhNyTyC
neutral	Так 500 МБ, 3 ГБ или 1 ГБ? #билайн http://t.co/AERDLwuriO
negative	Что происходит с Билайн? Нереально дозвониться!!! Невыносимо!
neutral	вы на каку экскурсию? Мы на мегафон #RT
positive	"Кто там не мог дозвониться до #МТС а я дозвонилась с первого раза. И там есть в меня ""связаться с специалистом набрав 1"""
neutral	@Ivbera это билайн
neutral	Лидером рейтинга операционных систем стала Android…. В сети Tele2 увеличилась доля смартфонов
neutral	"Девушки, записывайте в телефонную книгу своих любовников ""МТС"", ""Билайн"", ""Мегафон"". Не палитесь.”"
neutral	«Rostelecom» расширяет сеть продаж и обслуживания клиентов http://t.co/SQ51hmFgB5
negative	@Beeline_RUS Пятницкое шоссе д 18 Молю Дайте LTE Огромный ТК, огромная нагрузка Живём как в каменном веке Обратите внимание! Уповаю на вас!
positive	RT @Beeline_RUS: @Asdsaruss Сергей, здравствуйте! Спасибо! Мы рады, что Вам понравилась скорость. Приятного пользования интернетом!  #билайн
neutral	@EvgenyGalashin Евгений,nano SIM может быть,как с поддержкой LTE,так без неё.Пож-та, обратитесь в офис с паспортом для замены.=&gt;#билайн
neutral	@_IchiRen, готовы провести проверку, отправьте нам на blogs@mts.ru подробности, указав эти данные: http://t.co/ETLqGM3mUP. ^ДП #МТС
neutral	RT @wlinccubelqa: «Билайн» приглашает всех поклонников кайтбординга, пляжного отдыха и актуальной музыки на заключительный этап фестиваля B…
neutral	Также широко представлена в сети информация, освящающая тарифы Билайн по Москве и прочие разновидности рекламных акций.
positive	"Компания ""Мобильные ТелеСистемы"" (МТС) объявила о запуске сервиса для поведенческого анализа водителей корпоративных автопарков. Новая услу"
neutral	МТС проследит за поведением водителей корпоративных автомобилей
negative	На даче мой Билайн не ловит чет
neutral	RT @Beeline_RUS: Вопрос! С каких лет ребенок может пользоваться интернетом сам? Например, нашей «Вебландией»  http://t.co/42lIjU13UC http:/…
neutral	RT @MegaFonUral: Уже завтра мы открываем в Тюмени парк спорта и инноваций «МегаZone».Ждем вас с 12 до 18 на ул. Ленина /Орджоникидзе:) http…
neutral	Пост записи участников Блогерских Игрищ МТС http://t.co/eIZQaoVE6X #играемпорусски #spbblog
positive	В Ростовской области Интернет стал быстрее в 10 раз.  &amp;laquo;Мегафон&amp;raquo; включил на объектах связи новейшее техническое оборудование, к
positive	. МТС включила 4G в Саратовской области
neutral	@I_need_a_beach @BMTHurricane пойдем на горку Билайн
neutral	&amp;laquo;Мегафон&amp;raquo; включил на объектах связи новейшее техническое оборудование, которое позволяет значительно увеличить скорость работы
positive	&amp;quot;МегаФон&amp;quot; намерен установить 400 новых маршрутизаторов компании Juniper Networks на базовых станциях в Ростовской области, что по
neutral	@janejashka ну, кинь скрин в саппорт Мегафона, они разберутся. А над чуваком поиздейвайся, веселье же.
neutral	инструкция для мтс970 http://t.co/t29Oa8lszb #для
positive	Трейд-Портал: Акции МТС имеют отличные шансы на возобновление движения цен вверх с текущих уровней http://t.co/46Oq0SUuXf
positive	RT @retucargo: Рейтинг стоимости брендов: Apple — лидер, две российские компании — Сбербанк и МТС вошли в топ-100
positive	RT @pybewawypymi: Хочешь стать яйцеголовым? Подключись к МТС!!! )))))))
neutral	@jonny_socker Провайдер, случайно, не Ростелеком?
neutral	@megafonru  судя по тому, что твит прошел, видимо работает
neutral	"""Ростелеком"" подсчитал ущерб от наводнения в Алтайском крае и Республике Алтай"
neutral	«Комстар-ОТС» обеспечит связью деловой центр Ресо в Санкт-Петербурге
neutral	МТС нацелился на половину «Связного»
neutral	@mbrr_ru МТС-Банк: Новые возможности карты «МТС Деньги» http://t.co/TTgMrRPhQT #news #новости
neutral	RT @MegaFonKomiPR: На самом деле победила команда Сергея Сивкова. Лидеры рулят!
negative	#МТС прекрати , что делаешь , где мой интернет ?
neutral	Пришел на работу в мегафон в кофте мтс!))
negative	Весь @ru_mts в одной картинке. Даде на сайте кривая линковка http://t.co/wseDmJWCsx
positive	@chearstime бля, ну почему ты не купила МТСовскую смску, сейчас бесплатно бы чирикали
neutral	@SotskovaAnn Сообщите нам, пожалуйста, Вы пробовали переставить SIM карту в другой телефон? Какие-нибудь изменения произошли? #билайн
neutral	«Билайн» напомнит о дополнительных услугах
negative	Окли Окли Окли я лечу к тебе через свою дибильную мегафоновскую скорость
neutral	В рамках форума Дмитрий Аверов рассказал о внедрении информационной системы для Фонда капитального ремонта многоквартирных домов #Ростелеком
positive	на мтс бесплатно вообще-то
negative	Блин как всегда @megafon полный прием 3g интернета ничерта нет
negative	@rostelecom_fe Когда личный кабинет для абонентов GPON Приморского края заработает «в полную силу» ?
negative	МТС, ты пьян, иди домой http://t.co/Vbsp5pQzvW
neutral	«Ростелеком» восстановил доступ к «Газете.Ru в Нижнем Новгороде  #новости http://t.co/hIH1Lk0CsW
positive	МТС запустил сервис поведенческого анализа водителей http://t.co/Ouv5pb80oI
positive	МТС запустил сервис поведенческого анализа водителей http://t.co/ntM688XVRh
neutral	@MegaFonUralhelp смс
positive	Купил 4g интернет от МТС) Летает...!)))
neutral	"""Ростелеком"" восстановил доступ к ""Газете.Ru в Нижнем Новгороде: Доступ к ""Газете.Ru"" в Нижнем Новгороде... http://t.co/5aM9ERywQ1"
negative	Похоже Ростелеком только и умеет, что доступ к неугодным ресурсам закрывать https://t.co/m3ANE7VCg8
negative	"@Beeline_RUS Как на вопрос ""почему не доходят СМС"" мне придурки заявляют ""вам надо поставить антивирус"". Хорошо,что не переустановить ось..."
neutral	http://t.co/BEbCPPEdAI БИЛАЙН kz
neutral	коннект скачать программу http://t.co/qqlNE3klfH мегафон
neutral	СИМКУ МТС КУПИЛА
positive	@KonaYuki_U я вот тоже думала билайн брать, спасибо)
negative	мтс ограничил инет,круто
neutral	как активировать usb модем билайн http://t.co/z7unAOR9Ia
negative	Мтс и ростелеком просто сговорились и убивают  меня
neutral	@defythestars, если вопрос не решен, то, пожалуйста, уточните номер МТС, контактный номер. Постараемся помочь. ^ДП #МТС
neutral	МТС рапортует о росте продаж смартфонов в своих магазнах http://t.co/0aw6oZE4Qt
negative	Попросила в МТС наклеить пленку на телефон. Целый атракцион.
negative	Билайн, я все понимаю, но у меня День Рождения ЗАВТРА!
neutral	Алай приглашает меня на экскурсию в МТС ахахах
positive	МТС проследит за поведением водителей: http://t.co/yi9jDvnZlQ
positive	Кто дошёл-таки до Ростелекома или получил ключ по почте - те молодцы! Респект, товарищи!
positive	@amaranth815 переходи на мегафон с сохранением номера. Там отличный инет, низкие цены и нет смс спама.
neutral	Скажите мне, безлимитный интернет МТС будет работать в Краснодарском крае?
neutral	RT @okophoto: «Билайн» объявил о запуске сети 4G в Орловском регионе  http://t.co/NnxPy64T6u  #Билайн #Орел #Орлец #4G #LTE http://t.co/0FX…
positive	«Билайн» создает удобное web-пространство для корпоративных клиентов
negative	RT @malferov: Трусливый Билайн отказывается признавать факт спама, называя скриншот экрана - подделкой. https://t.co/7Db8X9vgKQ http://t.co…
positive	"Ставлю 5 баллов фильму ""Метод Фрейда. 11 серия"" из «Видеопроката» Интерактивного ТВ Ростелеком"
negative	"Интернет у МТС в Парке Горького, я бы сказал, не получается. Тупилово в стиле ""E"""
negative	Билайн опять из аквариума выполз...НУ ЧТО ЗА ЧЕРЕПАХА ТАКАЯ
negative	Муж с каждым годом становмтся наглее
neutral	Пост записи участников Блогерских Игрищ МТС http://t.co/vmsjiTRcGe #играемпорусски #мтс
negative	RT @t_felg: А что опять с ебучим билайном???? Мне надо сто звонков сделать перед вылетом. А сети опять нет!Перезагружала. Симку проверяли н…
neutral	RT @pressa71: В сети Tele2 увеличилась доля смартфонов #Тула #Туляк #Туларулит http://t.co/MOpnxXURfO
neutral	2804 мтс обновление прошивки http://t.co/QTYtf1gPiI fast
negative	@t_felg мегафон тоже довольно так ебучий.
negative	Вы еще не воспользовались нашей новой услугой, а мы уже сняли с вас деньги. МТС: на шаг впереди!
negative	ебучий Билайн продолжит ебатьRT @t_felg: Интересно, а вот ебучий Билайн мне возместит траты на все звонки в (cont) http://t.co/S4kqXUqq9N
positive	http://t.co/Ha4gU5wpZt «Билайн» создает удобное web-пространство для корпоративных клиентов
positive	"RT @Cinematica_KG: Мы этого ждали! В зале Билайн к/т ""Ала-Тоо"" через 4 дня установят новый экран и 3D систему. Новейшая разработка"
neutral	Мобильные телефоны мтс http://t.co/SNdokQu6eC
positive	Tele2 отменяет плату за общение внутри сети и снижает стоимость звонков на все направления.Tele2 запустила принципиально новую тарифную лин
negative	Я, кстати, по этой же причине и с мтсом до сих пор нихуя не решил. гг
negative	пиздец мтс обрадовал.
positive	@Beeline_RUS спасибо! Выручили! Все работает
negative	За качество связи на  Жубанова Тархана уже больше полгода жалуюсь, у @_Beeline_kz специалисты на улитках передвигаются?!
positive	@iPrizrak по поводу цен на связь в подкасте: плачу 3$ в месяц за 3000 минут/смс и 3Гб EDGE. Выговорить не могу. МТС Украина
negative	наконец-то, тормознутый ростелеком только щас понял, что деньги на счет пришли и можно включать-таки инет в квартире. спасибо!
neutral	Драйверы для модемов скайлинк http://t.co/GrM91eoEvb
neutral	RT @levashove: Друзья,  проголосуйте за меня? Хочу в Анапу http://t.co/WKug1OGHRc #Калининград #Билайн
negative	RT @alice_horan69: МТС,ору с тебя пхахаххахах http://t.co/d2QH0ga5aJ
neutral	Tele2 переходит на новую макрорегиональную структуру
negative	@whiiite_nigger да еще тут теперь нету света, нет связи мтс, остался только лайф
negative	RT @smoldorogi: На рекламном щите @ru_mts Нагиев и Дед Мороз в исподнем, походу Новый год без подарков будет. Главное соль на спички обменя…
negative	@_Beeline_kz Мне звонят с номеров +393496635324 +575385427871 и так далее. Если поднимаешь трубку, списывает баланс.
neutral	инструкции настройки dir-320 nru под билайн http://t.co/J0t4HQ8uUO #инструкции
negative	МТС, гори в аду. Г.О.Р.И.В.А.Д.У.
negative	ну мтс не надо так делать((
neutral	для usb модема билайн под андройд http://t.co/fNg3rVe7at прошивка
positive	Завтра может у меня будет и Домашнее Цифровое ТВ МТС
neutral	мегафон логин2 ms3a инструкция игры http://t.co/Wb4LuaLYgo #логин2 #игры
positive	Но я подрубил 8 гб мегафонотрафика, так что ожидайте репортажик с онямефестав Брянске в моём инстаграмчике с тегом #anibryan2014
neutral	Омский филиал Ростелекома перевел документооборот в электронный вид
neutral	#news МТС и Научный театр «Ноосфера» рассказали об изобретениях Николы Теслы:  МТС совместно с Научны... http://t.co/Duhr3upTaU #bizler
neutral	для телефона мегафон логин http://t.co/SMjeyDUtZf программы
neutral	обновление программы билайн интернет http://t.co/OeGmFBJ65b
neutral	RT @scenetbaiga: «Ростелеком» договаривается о совместном проекте с «НТВ плюс»
negative	RT @Momzikov: МТС - отвратительнейшая связь. Как же меня угораздило пользоваться этим столько лет
positive	«МегаФон» модернизирует 400 базовых станций в Ростовской области &amp;quot;МегаФон&amp;quot; намерен установить 400 новых маршрутизаторов
negative	Если что случилось со связью и связь нужна тебе прямо сейчас @Beeline_RUS ответит тебе что бы ты написал им на e-mail Скорость блять!
neutral	"Глава МВД Украины Арсен Аваков сообщил, что в отношении главы Минобороны России Сергея Шойгу и крупнейшего миноритария ""Ростелекома"""
neutral	"RT @colf_ne: Когда вижу на экране телефона значок входящего смс, сразу сердце замирает. И тут Мегафон такой: ""Аха-ха-ха, а я пошутиииил!""."
neutral	как скачать приложения mts tv http://t.co/MOo5JDsCYn
positive	Это чудное состояние, когда ты едешь по Украине, твой поезд заезжает на территорию Молдавии, а МТС тебе шлет смс, что ты в Румынии)
neutral	прошивка для мтс e1550 http://t.co/FFC2IcK7hD
neutral	Как ускорить 3g модем мегафон http://t.co/pFW5SWH3ve
neutral	МегаФон примет участие в проекте Самый большой в мире диван
positive	КТО С УКРАИНЫ? У КОГО МТС? ГО ПИСАТЬ СМС ДРУГ ДРУГУ?
neutral	Zaletchikya На 60% больше стали пользоваться мобильным интернетом абоненты «МегаФона» в Бурятии
neutral	Вопрос про Tele2 см. внутри?
negative	Люди, не звоните в Билайн! Я не знаю почему у вас 3G буковка не загорается!
neutral	как получить распечатку звонков ростелеком через интернет http://t.co/bDxMTVVlHz
neutral	25 июля 2014 г. Компания «МегаФон» запустила в Ставропольском крае очередной этап открытых испытаний собственной сети высокоскоростной пере
neutral	НКРСИ выделила «МТС Украина» короткий номер. Во время заседания, состоявшегося 24 июля 2014, НКРСИ приняла решение о выделении по заявлени
positive	"#RT Мегафон, вы такие ""оперативные и хорошие"
neutral	Я про московский Билайн.
positive	@amaranth815 щас же такая хуйня на законодательном уровне запрещена, не? В любом случае на билайне такой хуйни нет
neutral	RT @MegaFonHelp: @by_sashka Здравствуйте! Попробуйте, пожалуйста, выполнить поиск сети вручную. Необходимо сначала выбрать сеть Билайн или …
negative	@Tele2KZ Что за штука? Почему не вводите для Алматинской области? Потому что у нас уровень выше и не сдержите нагрузки от желающих?
neutral	@porok Антон,добрый вечер!Пож-та,отправьте нам на pomogite@beeline.ru Ваш номер и ссылку на твит.Это поможет нам найти и устранить неполадки
negative	@ru_mts если нет,то с какой радости вы предоставляете мошенникам данные о моих платежах?иначе откуда они мгновенно реагируют на мои платежи?
negative	мтс сошли с ума. Вчера получил смс, при том, что я абонент теле2
negative	мтс вчера сговорился и рубанул мне все...ни инета ни связи.. #RT
negative	МТС суки!вчера оборвали мне связь с внешним миром
neutral	RT @MihRRRab: Знакомьтесь. Это лиса на Прививке честности #tele2  Игроки обещали лисе честно больше не есть по ночам!) http://t.co/H2wOqQnm…
