sentiment	text 
positive	мегафон модернизировать 400 базовый станция в ростовский область &amp;quot;мегафон&amp;quot; намерен устанавливать 400 новый маршрутизатор 
negative	если что случаться со связь и связь нужный ты прямо сейчас @beeline_rus отвечать ты что бы ты написать он на e-mail скорость блять 
neutral	глава мвд украина арсен аваков сообщать что в отношение глава минобороны россия сергей шойгу и крупный миноритарий ростелеком 
neutral	 @colf_ne: когда видеть на экран телефон значок входить смс сразу сердце замирать и тут мегафон такой: аха-ха-ха а я пошутиииил 
neutral	как скачать приложение mts tv http://tco/moo5jdscyn 
positive	этот чудный состояние когда ты ехать по украина твой поезд заезжать на территория молдавия а мтс ты слать смс что ты в румыния) 
neutral	прошивка для мтс e1550 http://tco/ffc2ick7hd 
neutral	как ускорять 3g модем мегафон http://tco/pfw5swh3ve 
neutral	мегафон принимать участие в проект самый большой в мир диван 
positive	кто с украина у кто мтс го писать смс друг друг 
neutral	zaletchikya на 60% много становиться пользоваться мобильный интернет абонент мегафон в бурятия 
neutral	вопрос про tele2 см внутри 
negative	человек не звонить в билайн я не знать почему у вы 3g буковка не загораться 
neutral	как получать распечатка звонок ростелеком через интернет http://tco/bdxmtvvlhz 
neutral	25 июль 2014 г компания мегафон запускать в ставропольский край очередной этап открывать испытание собственный сеть высокоскоростной перо 
neutral	нкрси выделять мтс украина короткий номер во время заседание состояться 24 июль 2014 нкрси принимать решение о выделение по заявлень 
positive	# мегафон вы такой оперативный и хороший 
neutral	я про московский билайн 
positive	@amaranth815 щас же такой хуйня на законодательный уровень запрещать не в любой случай на билайн такой хуйнуть нет 
neutral	 @megafonhelp: @by_sashka здравствовать попробовать пожалуйста выполнять поиск сеть вручную необходимо сначала выбирать сеть билайн или  
negative	@tele2kz что за штука почему не вводить для алматинский область потому что у мы уровень высокий и не сдерживать нагрузка от желающий 
neutral	@porok антондобрый вечерпожа-таотправлять мы на pomogite@beelineru ваш номер и ссылка на твитэто помогать мы находить и устранять неполадка 
negative	@ru_mts если нетто с какой радость вы предоставлять мошенник данные о мой платежахиначе откуда они мгновенно реагировать на мой платеж 
negative	мтс сходить с ум вчера получать смс при то что я абонент теле2 
negative	мтс вчера сговариваться и рубануть я всени инет ни связь # 
negative	мтс сукивчера оборвать я связь с внешний мир 
neutral	 @mihrrrab: знакомиться это лиса на прививка честность #tele2  игрок обещать лиса честно больше не быть по ночь) http://tco/h2woqqnm 
neutral	мтс приглашать на экскурсия по место боевой слава донецк 
neutral	мтс делать экскурсия в сочинский дендрарий мобильный 
neutral	мтс приглашать на экскурсия по харьковский улица победа 
negative	мтс не для путешествие 
neutral	мы не создавать друг для друг у он киевстар у я мтс 
neutral	#домашний оператор call-центр #билайн / уровень зарплата от 25 000 до 50 000 руб / город ростов-на-дону / треба http://tco/16nfjvp7b4 
negative	@ru_mts я просто негодовать какой чертам не мочь дозваниваться до оператор в течение 20-30 минута 
